01010214109380	21	60
01010214109390	21	60
01010214104910	34	60
01010214111660	40	60
01010214106750	28	60
01010214104430	37	60
01010214108230	24	60
01010214105730	32	60
01010214108770	25	60
01010202108260	24	60
01010214107540	26	60
01010214109440	20	36
01010202101800	49	60
01010214104000	39	60
01010214106420	29	60
01010214109310	22	60
01010214117710	51	60
01010214108830	23	36
01010214117690	31	60
01010214106430	29	60
01010214107690	26	60
01010214103610	41	60
01010214104090	39	60
01010202106090	30	60
01010214108080	25	60
01010214109670	20	60
01010214106660	28	60
01010214108670	23	60
01010214108790	23	60
01010214106020	30	60
01010214107450	26	60
01010214108910	23	60
01010214118410	22	24
01010214107850	26	60
01010214104810	35	60
01010214108930	23	60
01010214109010	23	60
01010214109630	20	60
01010214109100	22	36
01010214105010	34	60
01010214103840	40	60
01010214105220	33	60
01010214109200	22	60
01010214107920	26	48
01010202102690	45	48
01010214117590	31	60
01010214108300	24	60
01010202101400	52	60
01010214104340	38	60
01010214108470	24	60
01010214108500	24	60
01010214117960	33	60
01010214103090	44	48
01010214117650	43	60
01010214107260	27	60
01010214105160	34	60
01010214104300	38	60
01010214107440	26	60
01010214103670	41	60
01010214109340	22	60
01010214118320	37	60
01010214106140	30	60
01010214105820	31	36
01010214107820	26	36
01010214104330	38	48
01010214106030	30	60
01010214107660	26	60
01010214109020	23	60
01010214104320	38	60
01010214107860	26	60
01010214108370	24	60
01010202102560	46	60
01010214105770	31	36
01010214107970	25	60
01010202102180	48	60
01010214108490	24	84
01010214105090	34	60
01010214104240	38	60
01010214106530	29	60
01010214106460	29	60
01010214106110	30	60
01010214103860	40	60
01010202117680	32	48
01010214109170	22	60
01010214108620	24	84
01010214117400	39	60
01010202107800	26	60
01010202117910	49	60
01010214107840	26	60
01010202106000	31	60
01010214107790	26	49
01010214108290	24	60
01010202104820	35	60
01010214109410	22	60
01010214105390	33	60
01010214108410	24	60
01010214105180	34	60
01010214106510	29	60
01010214108020	25	60
01010214105080	34	60
01010214105550	32	48
01010214108760	23	60
01010214108220	25	60
01010214104160	38	60
01010214106170	30	60
01010214103920	40	60
01010214109040	23	60
01010202117820	50	60
01010214105690	32	60
01010214108210	25	60
01010214108190	25	60
01010214108600	24	60
01010214107360	27	60
01010214105190	34	60
01010202108040	25	60
01010202102430	46	60
01010214107210	36	60
01010214107200	36	60
01010202102050	48	60
01010214103710	41	60
01010214108110	25	48
01010214117640	39	60
01010214107680	26	48
01010214104120	39	60
01010214108420	24	36
01010214104530	37	60
01010214106600	29	60
01010214106490	29	60
01010214107130	27	60
01010214109270	22	24
01010214109360	22	60
01010202117700	49	60
01010214106240	29	48
01010214105520	32	60
01010202107290	27	60
01010214105370	33	60
01010214106400	29	60
01010214109280	22	60
01010202117810	46	60
01010101001040	43	60
01010214105880	31	60
01010214107410	27	60
01010202109080	23	36
01010202109070	23	36
01010214103290	43	60
01010202106740	28	60
01010214108000	27	60
01010214109060	23	60
01010214105030	34	48
01010214108330	24	60
01010202102350	47	60
01010214108460	24	60
01010214108560	24	24
01010214108610	24	60
01010214108630	24	60
01010202102340	47	60
01010214107180	27	60
01010214105580	32	48
01010214105280	33	60
01010202104900	35	60
01010214106540	29	60
01010202102090	48	60
01010214105990	31	60
01010214107190	28	60
01010202103590	45	60
01010214103540	42	60
01010101001120	46	76
01010214102910	44	60
01010214109950	21	60
01010214109350	22	36
01010214109620	20	60
